,nppes_provider_city,total_claim
0,CHATTANOOGA,1679.0
1,MEMPHIS,1621.0
2,NASHVILLE,1364.0
3,CORDOVA,1301.0
4,BRISTOL,1001.0
5,KNOXVILLE,581.0
6,MURFREESBORO,515.0
7,HENDERSONVILLE,496.0
8,CLARKSVILLE,474.0
9,MANCHESTER,437.0
10,BRENTWOOD,421.0
11,ANTIOCH,369.0
12,CLEVELAND,217.0
13,DICKSON,198.0
14,HERMITAGE,179.0
15,HENDERSON,176.0
16,FRANKLIN,163.0
17,COOKEVILLE,161.0
18,COLUMBIA,156.0
19,JACKSON,150.0
20,GALLATIN,129.0
21,KINGSPORT,128.0
22,JOHNSON CITY,106.0
23,PARIS,100.0
24,LEBANON,99.0
25,HIXSON,93.0
26,DAYTON,92.0
27,ATOKA,90.0
28,GERMANTOWN,87.0
29,ATHENS,84.0
30,SPRINGFIELD,74.0
31,LAWRENCEBURG,69.0
32,TRACY CITY,66.0
33,CAMDEN,59.0
34,CELINA,58.0
35,TULLAHOMA,58.0
36,LEWISBURG,43.0
37,CROSSVILLE,41.0
38,MARTIN,36.0
39,COPPERHILL,35.0
40,EAST RIDGE,34.0
41,WHITE HOUSE,34.0
42,MOUNT JULIET,29.0
43,LA FOLLETTE,29.0
44,SMYRNA,29.0
45,HARRIMAN,28.0
46,MADISON,27.0
47,GATLINBURG,26.0
48,ELIZABETHTON,26.0
49,SALE CREEK,26.0
50,COVINGTON,25.0
51,FAYETTEVILLE,24.0
52,SPRING HILL,24.0
53,MONTEAGLE,24.0
54,SWEETWATER,24.0
55,RUTHERFORD,23.0
56,SPARTA,22.0
57,ONEIDA,22.0
58,SAVANNAH,21.0
59,BOLIVAR,21.0
60,COLLIERVILLE,20.0
61,MADISONVILLE,19.0
62,PULASKI,18.0
63,S PITTSBURG,18.0
64,HARROGATE,16.0
65,CHARLESTON,15.0
66,GORDONSVILLE,15.0
67,LENOIR CITY,15.0
68,ASHLAND CITY,15.0
69,MOUNTAIN CITY,14.0
70,CHURCH HILL,13.0
71,GREENEVILLE,13.0
72,MORRISTOWN,12.0
73,SOMERVILLE,12.0
74,BROWNSVILLE,12.0
75,ALCOA,12.0
76,GREENBRIER,11.0
77,JEFFERSON CITY,11.0
78,LOUDON,11.0
79,OOLTEWAH,11.0
80,UNION CITY,11.0
